,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD,N/A
451,,,,,,,,,,,Calmodulin induced events,Disorders of Developmental Biology,Disorders of Developmental Biology,"Cell Cycle, Mitotic",Calmodulin induced events,Acyl chain remodeling of CL,,,,N/A
452,,,,,,,,,,,Centrosome maturation,Pervasive developmental disorders,Pervasive developmental disorders,VEGFA-VEGFR2 Pathway,Centrosome maturation,DDX58/IFIH1-mediated induction of interferon-alpha/beta,,,,N/A
453,,,,,,,,,,,CaM pathway,Loss of function of MECP2 in Rett syndrome,Loss of function of MECP2 in Rett syndrome,Regulation of MECP2 expression and activity,CaM pathway,Vitamin C (ascorbate) metabolism,,,,N/A
454,,,,,,,,,,,Degradation of GLI2 by the proteasome,"Regulation of glycolysis by fructose 2,6-bisphosphate metabolism","Regulation of glycolysis by fructose 2,6-bisphosphate metabolism",Cell Cycle,Degradation of GLI2 by the proteasome,Resolution of AP sites via the single-nucleotide replacement pathway,,,,N/A
455,,,,,,,,,,,GLI3 is processed to GLI3R by the proteasome,PKA activation in glucagon signalling,PKA activation in glucagon signalling,Signaling by VEGF,GLI3 is processed to GLI3R by the proteasome,Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,,,,N/A
456,,,,,,,,,,,Ca-dependent events,HDL assembly,HDL assembly,M Phase,Ca-dependent events,PCNA-Dependent Long Patch Base Excision Repair,,,,N/A
457,,,,,,,,,,,CD209 (DC-SIGN) signaling,PKA activation,PKA activation,Developmental Biology,CD209 (DC-SIGN) signaling,POLB-Dependent Long Patch Base Excision Repair,,,,N/A
458,,,,,,,,,,,DAG and IP3 signaling,CREB1 phosphorylation through the activation of Adenylate Cyclase,CREB1 phosphorylation through the activation of Adenylate Cyclase,Axon guidance,ADORA2B mediated anti-inflammatory cytokines production,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,,,,N/A
459,,,,,,,,,,,ADORA2B mediated anti-inflammatory cytokines production,Triglyceride metabolism,PKA-mediated phosphorylation of CREB,Nervous system development,Mitotic Prometaphase,Synthesis of CL,,,,N/A
460,,,,,,,,,,,PLC beta mediated events,PKA-mediated phosphorylation of CREB,AURKA Activation by TPX2,Transcriptional Regulation by MECP2,Post NMDA receptor activation events,Acyl chain remodelling of PG,,,,N/A
461,,,,,,,,,,,FCGR3A-mediated IL10 synthesis,Triglyceride catabolism,Glucagon signaling in metabolic regulation,ABC transporters in lipid homeostasis,"Plasma lipoprotein assembly, remodeling, and clearance",Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),,,,N/A
462,,,,,,,,,,,G-protein mediated events,AURKA Activation by TPX2,Recruitment of NuMA to mitotic centrosomes,Defective MMAA causes methylmalonic aciduria type cblA,Regulation of PLK1 Activity at G2/M Transition,Biosynthesis of maresins,,,,N/A
463,,,,,,,,,,,Mitotic Prometaphase,Glucagon signaling in metabolic regulation,ROBO receptors bind AKAP5,Defective MUT causes methylmalonic aciduria mut type,Cilium Assembly,Activation of NOXA and translocation to mitochondria,,,,N/A
464,,,,,,,,,,,Post NMDA receptor activation events,Recruitment of NuMA to mitotic centrosomes,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,Protein repair,Activation of NMDA receptors and postsynaptic events,NOD1/2 Signaling Pathway,,,,N/A
465,,,,,,,,,,,Regulation of insulin secretion,ROBO receptors bind AKAP5,Vasopressin regulates renal water homeostasis via Aquaporins,Defective CYP11A1 causes AICSR,Signaling by ROBO receptors,Diseases of Base Excision Repair,,,,N/A
466,,,,,,,,,,,"Plasma lipoprotein assembly, remodeling, and clearance",Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,Rap1 signalling,Cholesterol biosynthesis,G2/M Transition,Defective Base Excision Repair Associated with OGG1,,,,N/A
467,,,,,,,,,,,Regulation of PLK1 Activity at G2/M Transition,Vasopressin regulates renal water homeostasis via Aquaporins,Plasma lipoprotein assembly,Defective ABCD1 causes ALD,Mitotic G2-G2/M phases,Defective OGG1 Substrate Binding,,,,N/A
468,,,,,,,,,,,Leishmania parasite growth and survival,Rap1 signalling,Aquaporin-mediated transport,Miro GTPase Cycle,MAPK6/MAPK4 signaling,Defective OGG1 Localization,,,,N/A
469,,,,,,,,,,,Anti-inflammatory response favouring Leishmania parasite infection,Plasma lipoprotein assembly,Glycolysis,SUMOylation of transcription cofactors,"Cell Cycle, Mitotic",Defective OGG1 Substrate Processing,,,,N/A
470,,,,,,,,,,,Cilium Assembly,Aquaporin-mediated transport,Degradation of GLI1 by the proteasome,SUMO E3 ligases SUMOylate target proteins,Regulation of MECP2 expression and activity,Recognition and association of DNA glycosylase with site containing an affected purine,,,,N/A
471,,,,,,,,,,,Activation of NMDA receptors and postsynaptic events,Glycolysis,RET signaling,SUMOylation,M Phase,Depurination,,,,N/A
472,,,,,,,,,,,Signaling by ROBO receptors,Degradation of GLI1 by the proteasome,Recruitment of mitotic centrosome proteins and complexes,Vitamin B2 (riboflavin) metabolism,Developmental Biology,Cleavage of the damaged purine,,,,N/A
473,,,,,,,,,,,G2/M Transition,RET signaling,Loss of Nlp from mitotic centrosomes,RHOT2 GTPase cycle,Axon guidance,"Base-Excision Repair, AP Site Formation",,,,N/A
474,,,,,,,,,,,Mitotic G2-G2/M phases,Recruitment of mitotic centrosome proteins and complexes,Anchoring of the basal body to the plasma membrane,Aspartate and asparagine metabolism,Nervous system development,Cleavage of the damaged pyrimidine ,,,,N/A
475,,,,,,,,,,,MAPK6/MAPK4 signaling,Loss of Nlp from mitotic centrosomes,Loss of proteins required for interphase microtubule organization from the centrosome,Aflatoxin activation and detoxification,Transcriptional Regulation by MECP2,Recognition and association of DNA glycosylase with site containing an affected pyrimidine,,,,N/A
476,,,,,,,,,,,Leishmania infection,Anchoring of the basal body to the plasma membrane,Calmodulin induced events,Acyl chain remodeling of CL,Nucleobase biosynthesis,Depyrimidination,,,,N/A
477,,,,,,,,,,,"Cell Cycle, Mitotic",Loss of proteins required for interphase microtubule organization from the centrosome,Centrosome maturation,The fatty acid cycling model,Nucleotide salvage,Diseases of DNA repair,,,,N/A
478,,,,,,,,,,,VEGFA-VEGFR2 Pathway,Calmodulin induced events,CaM pathway,The proton buffering model,Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),Interferon alpha/beta signaling,,,,N/A
479,,,,,,,,,,,Regulation of MECP2 expression and activity,Centrosome maturation,Degradation of GLI2 by the proteasome,Mitochondrial Uncoupling,Biosynthesis of maresins,Interferon Signaling,,,,N/A
480,,,,,,,,,,,Signaling by VEGF,CaM pathway,GLI3 is processed to GLI3R by the proteasome,PPARA activates gene expression,Metabolism of ingested MeSeO2H into MeSeH,PPARA activates gene expression,,,,N/A
481,,,,,,,,,,,M Phase,Degradation of GLI2 by the proteasome,Ca-dependent events,Regulation of lipid metabolism by PPARalpha,Uptake and function of diphtheria toxin,Regulation of lipid metabolism by PPARalpha,,,,N/A
482,,,,,,,,,,,Developmental Biology,GLI3 is processed to GLI3R by the proteasome,CD209 (DC-SIGN) signaling,Electron transport from NADPH to Ferredoxin,Uptake and actions of bacterial toxins,Beta oxidation of myristoyl-CoA to lauroyl-CoA,,,,N/A
483,,,,,,,,,,,Axon guidance,Ca-dependent events,DAG and IP3 signaling,Formyl peptide receptors bind formyl peptides and many other ligands,Activation of AKT2,Beta oxidation of palmitoyl-CoA to myristoyl-CoA,,,,N/A
484,,,,,,,,,,,Nervous system development,CD209 (DC-SIGN) signaling,ADORA2B mediated anti-inflammatory cytokines production,Cytosolic tRNA aminoacylation,CD28 dependent PI3K/Akt signaling,Formyl peptide receptors bind formyl peptides and many other ligands,,,,N/A
485,,,,,,,,,,,Neurotransmitter receptors and postsynaptic signal transmission,DAG and IP3 signaling,Hedgehog 'off' state,RPIA deficiency: failed conversion of R5P to RU5P,PI3K Cascade,Pyrophosphate hydrolysis,,,,N/A
486,,,,,,,,,,,Transcriptional Regulation by MECP2,ADORA2B mediated anti-inflammatory cytokines production,PLC beta mediated events,RPIA deficiency: failed conversion of RU5P to R5P,IRS-mediated signalling,RAS processing,,,,N/A
487,,,,,,,,,,,Diseases of Base Excision Repair,PLC beta mediated events,FCGR3A-mediated IL10 synthesis,Pentose phosphate pathway disease,IRS-related events triggered by IGF1R,STAT5 activation downstream of FLT3 ITD mutants,,,,N/A
488,,,,,,,,,,,Defective Base Excision Repair Associated with OGG1,FCGR3A-mediated IL10 synthesis,G-protein mediated events,Pentose phosphate pathway,IGF1R signaling cascade,Signaling by FLT3 ITD and TKD mutants,,,,N/A
489,,,,,,,,,,,Defective OGG1 Substrate Binding,G-protein mediated events,Mitotic Prometaphase,Beta oxidation of palmitoyl-CoA to myristoyl-CoA,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),FLT3 signaling in disease,,,,N/A
490,,,,,,,,,,,Defective OGG1 Localization,Mitotic Prometaphase,Post NMDA receptor activation events,Metabolism of folate and pterines,VEGFR2 mediated vascular permeability,Organic anion transporters,,,,N/A
491,,,,,,,,,,,Defective OGG1 Substrate Processing,Post NMDA receptor activation events,Regulation of insulin secretion,Synthesis of Prostaglandins (PG) and Thromboxanes (TX),Insulin receptor signalling cascade,Transport of inorganic cations/anions and amino acids/oligopeptides,,,,N/A
492,,,,,,,,,,,Recognition and association of DNA glycosylase with site containing an affected purine,Regulation of insulin secretion,"Plasma lipoprotein assembly, remodeling, and clearance",Essential pentosuria,Signaling by Insulin receptor,Aggrephagy,,,,N/A
493,,,,,,,,,,,Depurination,"Plasma lipoprotein assembly, remodeling, and clearance",Regulation of PLK1 Activity at G2/M Transition,Defective MMAB causes methylmalonic aciduria type cblB,Negative regulation of the PI3K/AKT network,Josephin domain DUBs,,,,N/A
494,,,,,,,,,,,Cleavage of the damaged purine,Regulation of PLK1 Activity at G2/M Transition,Leishmania parasite growth and survival,Beta oxidation of myristoyl-CoA to lauroyl-CoA,CD28 co-stimulation,Amyloid fiber formation,,,,N/A
495,,,,,,,,,,,"Base-Excision Repair, AP Site Formation",Leishmania parasite growth and survival,Anti-inflammatory response favouring Leishmania parasite infection,Synthesis of bile acids and bile salts via 24-hydroxycholesterol,Costimulation by the CD28 family,Miro GTPase Cycle,,,,N/A
496,,,,,,,,,,,Cleavage of the damaged pyrimidine ,Anti-inflammatory response favouring Leishmania parasite infection,Signaling by Hedgehog,Miscellaneous transport and binding events,Pyrimidine salvage,RHOT2 GTPase cycle,,,,N/A
497,,,,,,,,,,,Recognition and association of DNA glycosylase with site containing an affected pyrimidine,Cilium Assembly,Cilium Assembly,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,Synthesis of CL,Regulation by c-FLIP,,,,N/A
498,,,,,,,,,,,Depyrimidination,Activation of NMDA receptors and postsynaptic events,Activation of NMDA receptors and postsynaptic events,MyD88 cascade initiated on plasma membrane,Acyl chain remodelling of PG,Dimerization of procaspase-8,,,,N/A
499,,,,,,,,,,,Transport of inorganic cations/anions and amino acids/oligopeptides,Signaling by ROBO receptors,Signaling by ROBO receptors,Toll Like Receptor 10 (TLR10) Cascade,Fructose catabolism,Caspase activation via Death Receptors in the presence of ligand,,,,N/A
500,,,,,,,,,,,"BMAL1:CLOCK,NPAS2 activates circadian gene expression",G2/M Transition,G2/M Transition,Toll Like Receptor 5 (TLR5) Cascade,Fructose metabolism,NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10,,,,N/A
501,,,,,,,,,,,TRAF6 mediated NF-kB activation,Mitotic G2-G2/M phases,Mitotic G2-G2/M phases,MyD88 dependent cascade initiated on endosome,Circadian Clock,TLR3-mediated TICAM1-dependent programmed cell death,,,,N/A
502,,,,,,,,,,,TRAF3-dependent IRF activation pathway,MAPK6/MAPK4 signaling,MAPK6/MAPK4 signaling,Toll Like Receptor 7/8 (TLR7/8) Cascade,Purine ribonucleoside monophosphate biosynthesis,TNFR1-induced proapoptotic signaling,,,,N/A
503,,,,,,,,,,,TRAF6 mediated IRF7 activation,Leishmania infection,Leishmania infection,Toll Like Receptor 9 (TLR9) Cascade,Regulation of FOXO transcriptional activity by acetylation,TRIF-mediated programmed cell death,,,,N/A
504,,,,,,,,,,,Ovarian tumor domain proteases,"Cell Cycle, Mitotic","Cell Cycle, Mitotic",MyD88:MAL(TIRAP) cascade initiated on plasma membrane,Abacavir metabolism,Microbial modulation of RIPK1-mediated regulated necrosis,,,,N/A
505,,,,,,,,,,,Propionyl-CoA catabolism,VEGFA-VEGFR2 Pathway,Regulation of MECP2 expression and activity,Toll Like Receptor TLR1:TLR2 Cascade,Abacavir transport and metabolism,TRAIL  signaling,,,,N/A
506,,,,,,,,,,,Defective MMAA causes methylmalonic aciduria type cblA,Regulation of MECP2 expression and activity,Cell Cycle,Toll Like Receptor TLR6:TLR2 Cascade,The fatty acid cycling model,FasL/ CD95L signaling,,,,N/A
507,,,,,,,,,,,Defective MUT causes methylmalonic aciduria mut type,Signaling by VEGF,M Phase,Toll Like Receptor 2 (TLR2) Cascade,The proton buffering model,RIPK1-mediated regulated necrosis,,,,N/A
508,,,,,,,,,,,Sodium/Calcium exchangers,M Phase,Developmental Biology,Late endosomal microautophagy,Mitochondrial Uncoupling,Toll Like Receptor 3 (TLR3) Cascade,,,,N/A
509,,,,,,,,,,,Metabolism of ingested MeSeO2H into MeSeH,Developmental Biology,Axon guidance,Chaperone Mediated Autophagy,Formation of xylulose-5-phosphate,TRIF(TICAM1)-mediated TLR4 signaling ,,,,N/A
510,,,,,,,,,,,Uptake and function of diphtheria toxin,Axon guidance,Nervous system development,Defective CYP27A1 causes CTX,Antigen processing: Ubiquitination & Proteasome degradation,MyD88-independent TLR4 cascade ,,,,N/A
511,,,,,,,,,,,Uptake and actions of bacterial toxins,Nervous system development,Transcriptional Regulation by MECP2,Synthesis of bile acids and bile salts via 27-hydroxycholesterol,Class I MHC mediated antigen processing & presentation,Regulation of TNFR1 signaling,,,,N/A
512,,,,,,,,,,,Defective CYP11B1 causes AH4,Transcriptional Regulation by MECP2,Cholesterol biosynthesis,Organic anion transporters,Miscellaneous transport and binding events,TNF signaling,,,,N/A
513,,,,,,,,,,,Glucocorticoid biosynthesis,PPARA activates gene expression,Interferon alpha/beta signaling,Transport of inorganic cations/anions and amino acids/oligopeptides,Alanine metabolism,Toll Like Receptor 4 (TLR4) Cascade,,,,N/A
514,,,,,,,,,,,Tyrosine catabolism,Regulation of lipid metabolism by PPARalpha,Interferon Signaling,Vitamin B1 (thiamin) metabolism,Regulation of TP53 Activity,Toll-like Receptor Cascades,,,,N/A
515,,,,,,,,,,,Phenylalanine and tyrosine metabolism,Linoleic acid (LA) metabolism,Interconversion of 2-oxoglutarate and 2-hydroxyglutarate,Pexophagy,RORA activates gene expression,rRNA processing in the mitochondrion,,,,N/A
516,,,,,,,,,,,Metabolism of folate and pterines,Vitamin B2 (riboflavin) metabolism,MHC class II antigen presentation,Degradation of GABA,Nicotinate metabolism,rRNA modification in the mitochondrion,,,,N/A
517,,,,,,,,,,,Aflatoxin activation and detoxification,Defective CYP11B1 causes AH4,Tyrosine catabolism,"GABA synthesis, release, reuptake and degradation",Activation of BIM and translocation to mitochondria ,rRNA processing,,,,N/A
518,,,,,,,,,,,Defective HDR through Homologous Recombination (HRR) due to PALB2 loss of function,Glucocorticoid biosynthesis,Phenylalanine and tyrosine metabolism,tRNA modification in the nucleus and cytosol,RUNX3 regulates BCL2L11 (BIM) transcription,Defective Intrinsic Pathway for Apoptosis Due to p14ARF Loss of Function,,,,N/A
519,,,,,,,,,,,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,Abacavir metabolism,Diseases of Base Excision Repair,Phenylalanine and tyrosine metabolism,FOXO-mediated transcription of cell death genes,RHOC GTPase cycle,,,,N/A
520,,,,,,,,,,,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,Abacavir transport and metabolism,Defective Base Excision Repair Associated with OGG1,RAC2 GTPase cycle,FLT3 Signaling,Intrinsic Pathway of Fibrin Clot Formation,,,,N/A
521,,,,,,,,,,,Diseases of DNA Double-Strand Break Repair,Synthesis of CL,Defective OGG1 Substrate Binding,Mitochondrial transcription termination,Transcriptional regulation by RUNX3,RHOA GTPase cycle,,,,N/A
522,,,,,,,,,,,G2/M DNA damage checkpoint,Acyl chain remodelling of PG,Defective OGG1 Localization,Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),SUMOylation of transcription cofactors,Formation of Fibrin Clot (Clotting Cascade),,,,N/A
523,,,,,,,,,,,Presynaptic phase of homologous DNA pairing and strand exchange,tRNA processing in the nucleus,Defective OGG1 Substrate Processing,Biosynthesis of maresins,SUMO E3 ligases SUMOylate target proteins,Abacavir metabolism,,,,N/A
